bb_period,bb_devfactor,rsi_period,rsi_oversold,rsi_overbought,use_midband,bb_touch_pct,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate
15,2.0,14,30,70,True,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
15,2.0,14,25,70,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,1.5,14,35,70,True,0.01,178132.38729274084,78.13238729274083,0.9343455828338593,9.199820157532272,4,100.0
15,1.5,14,35,75,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.0,14,25,65,True,0.01,213550.85366131563,113.55085366131563,0.9087838180138337,9.199820157532278,4,100.0
15,2.5,14,35,65,True,0.01,138866.69429304285,38.86669429304285,0.5528772682187079,25.004633359479,12,33.33333333333333
15,2.5,14,35,70,True,0.01,222826.8072149536,122.82680721495358,0.8656807110252208,21.435191513689258,3,66.66666666666666
15,2.5,14,35,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.5,14,30,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.5,14,30,65,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,14,35,70,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,30,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,14,35,65,True,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,2.0,14,35,75,True,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,2.0,10,30,65,False,0.01,131842.72458045412,31.842724580454117,0.6404880991639117,21.435191513689272,1,100.0
25,2.5,10,35,65,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
20,2.5,10,35,65,False,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
25,1.5,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
15,1.5,14,30,75,False,0.01,163790.01480750248,63.79001480750248,0.6738520413975525,21.435191513689272,1,100.0
20,1.5,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,1.5,14,30,75,False,0.01,153699.35317795922,53.69935317795922,0.6676031332277051,21.435191513689258,2,100.0
20,2.0,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
25,2.0,14,30,75,False,0.01,199401.7127417811,99.40171274178111,0.6857658979658502,21.435191513689258,2,100.0
25,2.0,14,35,75,False,0.01,150622.5443255752,50.622544325575205,0.6652021244407995,28.734416186280917,6,50.0
20,2.0,14,30,75,False,0.01,203780.4427010223,103.7804427010223,0.6866663177586656,21.435191513689272,2,100.0
20,1.5,14,30,75,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
25,1.5,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,1.5,10,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,2.0,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
20,2.0,10,30,65,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,1.5,10,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
15,1.5,14,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
20,1.5,14,30,70,False,0.01,100000.0,0.0,0.0,0.0,0,0.0
25,2.0,14,30,70,False,0.01,90551.19509156058,-9.448804908439415,-0.9316135166007733,28.329227915031158,4,50.0
