ticker,open,close,high,low,volume,date,time_milliseconds
TSLA,260.0,252.4,262.49,239.33,181722604,2025-04-10 04:00:00,1744257600000
TSLA,251.84,252.31,257.74,241.36,128948085,2025-04-11 04:00:00,1744344000000
TSLA,258.36,252.35,261.8,245.93,100135241,2025-04-14 04:00:00,1744603200000
TSLA,249.91,254.11,258.75,247.54,79594318,2025-04-15 04:00:00,1744689600000
TSLA,247.61,241.55,251.97,233.89,112378737,2025-04-16 04:00:00,1744776000000
TSLA,243.47,241.37,244.34,237.68,83404775,2025-04-17 04:00:00,1744862400000
TSLA,230.26,227.5,232.21,222.79,97768007,2025-04-21 04:00:00,1745208000000
TSLA,230.96,237.97,242.79,229.85,120858452,2025-04-22 04:00:00,1745294400000
TSLA,254.86,250.74,259.45,244.43,150381903,2025-04-23 04:00:00,1745380800000
TSLA,250.5,259.51,259.54,249.2,94464195,2025-04-24 04:00:00,1745467200000
TSLA,261.69,284.95,286.85,259.63,167560688,2025-04-25 04:00:00,1745553600000
TSLA,288.98,285.88,294.86,272.42,151731771,2025-04-28 04:00:00,1745812800000
TSLA,285.5,292.03,293.32,279.47,108906553,2025-04-29 04:00:00,1745899200000
TSLA,279.9,282.16,284.45,270.78,128961057,2025-04-30 04:00:00,1745985600000
TSLA,280.01,280.52,290.87,279.81,99658974,2025-05-01 04:00:00,1746072000000
TSLA,284.9,287.21,294.78,279.81,114454683,2025-05-02 04:00:00,1746158400000
TSLA,284.57,280.26,284.85,274.4,94618882,2025-05-05 04:00:00,1746417600000
TSLA,273.11,275.35,277.73,271.35,76715792,2025-05-06 04:00:00,1746504000000
TSLA,276.88,276.22,277.92,271.0,71882408,2025-05-07 04:00:00,1746590400000
TSLA,279.63,284.82,289.8,279.41,97539448,2025-05-08 04:00:00,1746676800000
TSLA,290.21,298.26,307.04,290.0,132387835,2025-05-09 04:00:00,1746763200000
TSLA,321.99,318.38,322.21,311.5,112826661,2025-05-12 04:00:00,1747022400000
TSLA,320.0,334.07,337.59,316.8,136992574,2025-05-13 04:00:00,1747108800000
TSLA,342.5,347.68,350.0,337.0,136997264,2025-05-14 04:00:00,1747195200000
TSLA,340.34,342.82,346.14,334.72,97882596,2025-05-15 04:00:00,1747281600000
TSLA,346.24,349.98,351.62,342.33,95895665,2025-05-16 04:00:00,1747368000000
TSLA,336.3,342.09,343.0,333.37,88869853,2025-05-19 04:00:00,1747627200000
TSLA,347.87,343.82,354.99,341.63,131715548,2025-05-20 04:00:00,1747713600000
TSLA,344.43,334.62,347.35,332.2,102354844,2025-05-21 04:00:00,1747800000000
TSLA,331.9,341.04,347.27,331.39,97113416,2025-05-22 04:00:00,1747886400000
TSLA,337.92,339.34,343.18,333.21,84654818,2025-05-23 04:00:00,1747972800000
TSLA,347.35,362.89,363.79,347.32,120146414,2025-05-27 04:00:00,1748318400000
TSLA,364.84,356.9,365.0,355.91,91404309,2025-05-28 04:00:00,1748404800000
TSLA,365.29,358.43,367.71,356.0,88545666,2025-05-29 04:00:00,1748491200000
TSLA,355.52,346.46,363.68,345.29,123474938,2025-05-30 04:00:00,1748577600000
TSLA,343.5,342.69,348.02,333.33,81873829,2025-06-02 04:00:00,1748836800000
TSLA,346.6,344.27,355.4,343.04,99324544,2025-06-03 04:00:00,1748923200000
TSLA,345.1,332.05,345.6,327.33,98912075,2025-06-04 04:00:00,1749009600000
TSLA,322.49,284.7,324.55,273.21,292818655,2025-06-05 04:00:00,1749096000000
TSLA,298.83,295.14,305.5,291.14,164747685,2025-06-06 04:00:00,1749182400000
TSLA,285.95,308.58,309.83,281.85,140908876,2025-06-09 04:00:00,1749441600000
TSLA,314.94,326.09,327.83,310.67,151256520,2025-06-10 04:00:00,1749528000000
TSLA,334.39,326.43,335.5,322.5,122611360,2025-06-11 04:00:00,1749614400000
TSLA,323.07,319.11,332.56,316.86,105127536,2025-06-12 04:00:00,1749700800000
